Nombre;URL;Precio;Area;Habitaciones;Baños
Apartamento en Venta, CHAPINERO CENTRAL, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos/10165-M4814011;$320.000.000;80 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-sucre-2-habitaciones-1-banos-1-garajes/14236-M4881662;$320.000.000;53 m²;2;1
Apartamento en Venta, Chapinero Noroccidental, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-sucre-2-habitaciones-2-banos/175-M4490896;$320.000.000;40 m²;2;2
Apartamento en Venta, CHAPINERO MARLY, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-2-banos-1-garajes/3147-M4832407;$320.000.000;62 m²;2;2
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-sucre-2-habitaciones-2-banos-1-garajes/4186-M4777901;$320.000.000;40 m²;2;2
Apartamento en Venta, CHAPINERO ALTO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-pardo-rubio-2-habitaciones-1-banos-1-garajes/16952-M4911426;$320.000.000;60 m²;2;1
Apartamento en Venta, SAN LUIS CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-luis-chapinero-2-habitaciones-2-banos-1-garajes/51-M4945385;$320.000.000;56 m²;2;2
Apartamento en Venta, CHAPINERO CENTRAL, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-1-banos/MC2004647;$320.000.000;102 m²;2;1
Apartamento en Venta, Chapinero Central, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-1-banos-1-garajes/16830-M4846556;$320.000.000;65 m²;2;1
Apartamento en Venta, Chapinero Noroccidental, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-sur-occidental-2-habitaciones-1-banos-1-garajes/258-M4622224;$325.000.000;74.9 m²;2;1
Apartamento en Venta, DIVINO SALVADOR, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-sur-occidental-edif-windsor-2-habitaciones-2-banos-1-garajes/2377-M4916334;$325.000.000;69 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos-1-garajes/4796-M4866861;$328.000.000;59.95 m²;2;2
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos/411-M4681184;$330.000.000;69 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos/411-M4933730;$330.000.000;63.37 m²;2;2
